,Date-Time,Temperature   (°C)
0,2025-02-09 10:36:03,23.94
1,2025-02-09 10:38:03,23.94
2,2025-02-09 10:40:03,23.94
3,2025-02-09 10:42:03,23.94
4,2025-02-09 10:44:03,23.94
5,2025-02-09 10:46:03,23.94
6,2025-02-09 10:48:03,23.94
7,2025-02-09 10:50:03,23.94
8,2025-02-09 10:52:03,23.94
9,2025-02-09 10:54:03,23.94
10,2025-02-09 10:56:03,23.94
11,2025-02-09 10:58:03,23.94
12,2025-02-09 11:00:03,23.94
13,2025-02-09 11:02:03,23.94
14,2025-02-09 11:04:03,23.94
15,2025-02-09 11:06:03,23.94
16,2025-02-09 11:08:03,23.94
17,2025-02-09 11:10:03,23.94
18,2025-02-09 11:12:03,23.94
19,2025-02-09 11:14:03,23.94
20,2025-02-09 11:16:03,23.94
21,2025-02-09 11:18:03,23.94
22,2025-02-09 11:20:03,23.94
23,2025-02-09 11:22:03,23.94
24,2025-02-09 11:24:03,23.94
25,2025-02-09 11:26:03,23.94
26,2025-02-09 11:28:03,23.94
27,2025-02-09 11:30:03,23.94
28,2025-02-09 11:32:03,23.94
29,2025-02-09 11:34:03,23.94
30,2025-02-09 11:36:03,23.94
31,2025-02-09 11:38:03,23.94
32,2025-02-09 11:40:03,23.94
33,2025-02-09 11:42:03,23.94
34,2025-02-09 11:44:03,23.94
35,2025-02-09 11:46:03,23.94
36,2025-02-09 11:48:03,23.94
37,2025-02-09 11:50:03,23.94
38,2025-02-09 11:52:03,23.94
39,2025-02-09 11:54:03,23.94
40,2025-02-09 11:56:03,23.94
41,2025-02-09 11:58:03,23.94
42,2025-02-09 12:00:03,23.94
43,2025-02-09 12:02:03,23.94
44,2025-02-09 12:04:03,23.94
45,2025-02-09 12:06:03,23.94
46,2025-02-09 12:08:03,23.94
47,2025-02-09 12:10:03,23.94
48,2025-02-09 12:12:03,23.94
49,2025-02-09 12:14:03,23.94
50,2025-02-09 12:16:03,23.94
51,2025-02-09 12:18:03,23.94
52,2025-02-09 12:20:03,23.94
53,2025-02-09 12:22:03,23.94
54,2025-02-09 12:24:03,23.94
55,2025-02-09 12:26:03,23.94
56,2025-02-09 12:28:03,23.94
57,2025-02-09 12:30:03,23.94
58,2025-02-09 12:32:03,23.94
59,2025-02-09 12:34:03,23.94
60,2025-02-09 12:36:03,23.94
